match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2111,1996-05-29,Republic of Ireland,Portugal,0.0,1.0,Friendly,Dublin,Republic of Ireland,False
2112,1996-05-29,Italy,Belgium,2.0,2.0,Friendly,Cremona,Italy,False
2113,1996-05-29,Japan,Mexico,3.0,2.0,Kirin Cup,Fukuoka,Japan,False
2114,1996-05-29,Netherlands,U.S. Virgin Islands,2.0,0.0,Friendly,Tilburg,Netherlands,False
2115,1996-05-29,Northern Ireland,Germany,1.0,1.0,Friendly,Belfast,Northern Ireland,False
2116,1996-05-29,Russia,United Arab Emirates,1.0,0.0,Friendly,Moscow,Russia,False
2117,1996-05-30,Saint Kitts and Nevis,Suriname,1.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
2118,1996-05-31,Mauritania,Burkina Faso,0.0,0.0,FIFA World Cup qualification,Nouakchott,Mauritania,False
2119,1996-06-01,Gambia,Liberia,2.0,1.0,FIFA World Cup qualification,Banjul,Gambia,False
2120,1996-06-01,Germany,France,0.0,1.0,Friendly,Stuttgart,Germany,False
2121,1996-06-01,Guinea-Bissau,Guinea,3.0,2.0,FIFA World Cup qualification,Bissau,Guinea-Bissau,False
2122,1996-06-01,Hungary,Italy,0.0,2.0,Friendly,Budapest,Hungary,False
2123,1996-06-01,Iceland,North Macedonia,1.0,1.0,FIFA World Cup qualification,Reykjavík,Iceland,False
2124,1996-06-01,Malawi,South Africa,0.0,1.0,FIFA World Cup qualification,Blantyre,Malawi,False
2125,1996-06-01,Namibia,Mozambique,2.0,0.0,FIFA World Cup qualification,Windhoek,Namibia,False
2126,1996-06-01,Qatar,Iran,0.0,1.0,Friendly,Doha,Qatar,False
2127,1996-06-01,Romania,Moldova,3.0,1.0,Friendly,Bucharest,Romania,False
2128,1996-06-01,Sudan,Zambia,2.0,0.0,FIFA World Cup qualification,Khartoum,Sudan,False
2129,1996-06-01,Sweden,Belarus,5.0,1.0,FIFA World Cup qualification,Solna,Sweden,False
2130,1996-06-01,Switzerland,Czech Republic,1.0,2.0,Friendly,Basel,Switzerland,False
2131,1996-06-01,Uganda,Angola,0.0,2.0,FIFA World Cup qualification,Kampala,Uganda,False
2132,1996-06-02,Belize,Panama,1.0,2.0,FIFA World Cup qualification,Belize City,Belize,False
2133,1996-06-02,Bulgaria,United Arab Emirates,4.0,1.0,Friendly,Sofia,Bulgaria,False
2134,1996-06-02,Burundi,Sierra Leone,1.0,0.0,FIFA World Cup qualification,Bujumbura,Burundi,False
2135,1996-06-02,Congo,Ivory Coast,2.0,0.0,FIFA World Cup qualification,Brazzaville,Congo,False
2136,1996-06-02,Denmark,Ghana,1.0,0.0,Friendly,Copenhagen,Denmark,False
2137,1996-06-02,Ecuador,Argentina,2.0,0.0,FIFA World Cup qualification,Quito,Ecuador,False
2138,1996-06-02,Finland,Turkey,1.0,2.0,Friendly,Helsinki,Finland,False
2139,1996-06-02,Republic of Ireland,Croatia,2.0,2.0,Friendly,Dublin,Republic of Ireland,False
2140,1996-06-02,Kenya,Algeria,3.0,1.0,FIFA World Cup qualification,Nairobi,Kenya,False
2141,1996-06-02,Madagascar,Zimbabwe,1.0,2.0,FIFA World Cup qualification,Antananarivo,Madagascar,False
2142,1996-06-02,Mauritius,DR Congo,1.0,5.0,FIFA World Cup qualification,Curepipe,Mauritius,False
2143,1996-06-02,Norway,Azerbaijan,5.0,0.0,FIFA World Cup qualification,Oslo,Norway,False
2144,1996-06-02,Peru,Colombia,1.0,1.0,FIFA World Cup qualification,Lima,Peru,False
2145,1996-06-02,Russia,Poland,2.0,0.0,Friendly,Moscow,Russia,False
2146,1996-06-02,Rwanda,Tunisia,1.0,3.0,FIFA World Cup qualification,Kigali,Rwanda,False
2147,1996-06-02,San Marino,Wales,0.0,5.0,FIFA World Cup qualification,Serravalle,San Marino,False
2148,1996-06-02,Eswatini,Gabon,0.0,1.0,FIFA World Cup qualification,Mbabane,Eswatini,False
