Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-04-11 18:29:21,false,"Santiago de Surco Running","5.39","280","00:31:01","136","158","174","195","5:45","4:00","10","74","1.00","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:34.5","6","NaN","--","--","--","00:30:55","00:31:01","79","145"
Running,2024-04-09 05:19:37,false,"Santiago de Surco Running","10.25","595","00:56:04","155","169","178","187","5:28","4:44","68","221","1.03","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:08.6","11","NaN","--","--","--","00:55:52","00:56:04","-62","97"
Running,2024-04-06 05:24:29,false,"Santiago de Surco Running","6.39","369","00:37:11","148","171","177","187","5:49","4:59","11","91","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:49.6","7","NaN","--","--","--","00:37:05","00:37:11","52","137"
Running,2024-04-05 05:07:50,false,"Santiago de Surco Running","8.27","507","00:47:55","157","169","177","185","5:47","2:03","24","76","0.98","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:16.1","9","NaN","--","--","--","00:47:50","00:47:55","2","58"
Running,2024-04-04 05:12:39,false,"Santiago de Surco Running","6.52","394","00:39:30","147","162","177","187","6:04","4:31","53","186","0.93","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:02:15.4","7","NaN","--","--","--","00:39:25","00:39:30","-9","155"
Running,2024-03-28 05:01:04,false,"Santiago de Surco Running","14.03","794","01:18:06","152","167","178","193","5:34","4:36","48","181","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:07.1","15","NaN","--","--","--","01:17:56","01:18:06","-24","109"
Running,2024-03-26 05:07:41,false,"Santiago de Surco Running","8.14","468","00:48:56","144","160","175","187","6:01","4:27","34","193","0.95","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:36.2","9","NaN","--","--","--","00:48:45","00:48:56","2","174"
Running,2024-03-25 05:19:37,false,"Santiago de Surco Running","8.29","437","00:46:52","140","159","177","191","5:39","4:42","20","150","1.00","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:26.7","9","NaN","--","--","--","00:46:49","00:46:52","-4","124"
Running,2024-03-24 21:01:27,false,"Santiago de Surco Running","8.87","479","00:49:32","144","165","176","193","5:35","4:26","16","140","1.02","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:03:57.2","9","NaN","--","--","--","00:49:22","00:49:32","-40","89"
Cardio,2024-03-23 09:03:34,false,"Cardio","0.00","140","00:48:47","83","112","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:48:47","1","NaN","--","--","--","00:00:00","00:48:47","-39","-26"
